age,gender,race,span_hisp_latin,marital_status,education_level,active_certification_license,disability,health_status,insurance_coverage_flag,citizenship,birth_country,immigration_period,employed_or_not,worker_class,industry,total_income,taxable_income,poverty_category,child_outside_household,child_support_flag,annual_child_support,household_status,metropolitan_status,state,region,household_income,financial_assistance_flag
32,2,1,2,5,39,2,1,3,1,1,57,0,7,0,0,10800,0,1,1,2,0,1,2,23,1,10800,2
34,2,1,2,1,42,2,2,3,1,1,57,0,1,1,10,46111,0,4,2,0,0,2,2,23,1,93972,2
23,1,1,2,7,42,2,2,2,2,1,57,0,1,1,9,10000,0,4,2,0,0,5,2,23,1,136066,2
34,2,1,2,1,43,1,2,3,1,1,57,0,1,4,10,32163,54163,4,2,0,0,1,2,23,1,78163,2
32,1,1,2,1,43,1,2,3,1,5,140,20,1,3,13,46000,0,4,2,0,0,2,2,23,1,78163,2
25,2,1,1,7,40,1,2,1,1,1,57,0,1,1,12,32001,15001,4,2,0,0,1,2,23,1,32001,2
37,1,1,2,7,43,2,2,1,1,1,57,0,1,1,8,52450,40450,4,2,0,0,1,1,23,1,52450,2
38,1,1,2,7,42,2,2,1,1,1,57,0,1,1,5,16000,4000,4,2,0,0,5,1,23,1,83990,2
38,1,1,2,1,35,2,2,4,1,1,57,0,1,1,3,44000,62000,4,2,0,0,1,1,23,1,86000,2
28,1,1,2,7,40,2,1,3,2,1,57,0,1,1,5,18000,0,2,2,0,0,1,1,23,1,18000,2
38,2,1,2,1,42,1,2,3,1,1,57,0,1,5,4,40005,0,4,2,0,0,2,1,23,1,179147,2
27,2,1,2,7,43,2,1,2,1,1,57,0,1,1,9,25610,13610,4,2,0,0,5,1,23,1,137739,2
35,1,3,2,7,42,1,2,4,1,1,57,0,7,0,0,72938,25834,4,2,0,0,1,1,23,1,134688,2
23,2,1,2,7,40,2,1,2,1,1,57,0,1,1,11,20001,8001,4,2,0,0,1,1,23,1,70001,2
24,1,1,2,7,39,2,1,3,1,1,57,0,4,1,1,54000,42000,4,2,0,0,6,1,23,1,74400,2
27,2,1,2,1,41,1,2,1,1,1,57,0,1,1,10,53300,108706,4,2,0,0,1,1,23,1,163802,2
24,1,1,2,1,43,1,2,1,1,1,57,0,7,0,0,110502,0,4,2,0,0,2,1,23,1,163802,2
37,2,1,2,6,43,1,2,4,1,1,57,0,1,1,10,11510,0,1,2,0,0,1,1,23,1,11510,2
37,2,1,2,6,39,1,2,1,1,1,57,0,1,1,5,34000,16000,4,2,0,0,1,1,23,1,34000,2
33,2,1,2,1,39,2,2,3,1,1,57,0,7,0,0,802,0,1,2,0,0,2,1,23,1,15582,2
25,2,1,2,7,41,1,2,1,1,1,57,0,1,1,10,60010,48010,4,2,0,0,5,1,23,1,144675,2
30,1,1,2,1,39,2,1,5,1,1,57,0,6,0,0,10512,0,2,2,0,0,1,1,23,1,17132,2
30,2,7,2,1,39,2,1,5,1,1,57,0,6,0,0,6620,0,2,2,0,0,2,1,23,1,17132,2
36,2,2,2,1,33,2,2,2,1,5,448,24,7,0,0,7000,0,1,2,0,0,2,1,23,1,19000,2
25,2,7,2,7,40,1,2,3,1,1,57,0,1,1,11,19001,1001,4,2,0,0,5,1,23,1,202567,2
33,1,1,2,7,42,2,2,1,1,1,57,0,1,1,3,50101,36603,4,2,0,0,1,1,23,1,50101,2
38,1,4,2,7,40,2,2,4,2,1,57,0,1,1,6,52000,40000,4,1,1,7488,1,1,23,1,52000,2
34,2,1,2,5,41,1,2,4,1,1,57,0,1,1,10,18000,0,1,2,0,0,1,1,23,1,22601,2
24,1,1,2,7,41,2,2,2,1,1,57,0,1,1,11,20000,8000,4,2,0,0,1,1,23,1,50000,2
35,2,1,2,7,43,2,2,1,1,1,57,0,1,3,13,36000,18000,4,2,0,0,1,1,23,1,36000,2
25,2,1,2,5,39,1,1,2,1,1,57,0,1,6,12,9504,0,1,2,0,0,1,1,23,1,9504,1
28,2,1,2,1,43,2,2,2,1,1,57,0,1,1,10,58200,76915,4,2,0,0,5,1,23,1,191115,2
30,1,1,2,1,43,2,2,2,1,1,57,0,1,4,10,42715,0,4,2,0,0,6,1,23,1,191115,2
38,1,7,2,7,39,2,1,3,1,1,57,0,1,1,4,12115,0,1,2,0,0,1,1,23,1,12115,2
31,2,1,2,1,43,1,2,2,1,1,57,0,7,0,0,35010,71021,4,2,0,0,1,1,23,1,95021,2
31,1,1,2,1,41,1,2,2,1,1,57,0,1,4,13,60011,0,4,2,0,0,2,1,23,1,95021,2
23,2,1,1,1,39,2,2,3,1,1,57,0,1,1,9,5660,10556,4,2,0,0,1,1,23,1,34556,2
26,1,1,2,1,39,2,2,1,1,1,57,0,1,1,11,28896,0,4,2,0,0,2,1,23,1,34556,2
28,2,1,2,7,39,1,2,3,2,1,57,0,1,1,9,19001,1001,2,2,0,0,1,1,23,1,19001,2
34,1,7,2,7,39,2,1,3,1,1,57,0,1,1,9,23659,3000,4,2,0,0,5,1,23,1,46818,2
24,1,2,2,7,37,2,1,3,1,4,451,17,4,1,9,0,0,1,2,0,0,1,1,23,1,0,2
24,2,10,2,7,39,2,2,2,1,1,57,0,4,1,5,11400,0,1,2,0,0,1,1,23,1,11400,2
33,1,1,2,5,39,2,2,4,1,1,57,0,6,0,0,0,0,1,2,0,0,1,1,23,1,0,2
35,2,1,2,5,42,2,1,3,1,1,57,0,1,1,10,45875,25691,4,2,0,0,1,1,23,1,45875,2
35,2,1,2,1,43,2,2,1,1,5,210,25,7,0,0,1,0,4,2,0,0,2,1,23,1,100001,2
28,2,1,2,7,43,1,2,3,1,1,57,0,1,4,10,30002,18002,4,2,0,0,5,1,23,1,68402,2
37,2,1,2,7,39,2,1,3,1,1,57,0,6,0,0,9060,0,1,2,0,0,1,1,23,1,9060,2
37,1,1,2,7,39,2,2,4,1,1,57,0,5,0,0,12973,0,4,2,0,0,6,1,23,1,26918,2
36,2,1,2,5,40,1,2,3,1,1,57,0,1,1,10,7200,0,1,2,0,0,1,1,23,1,7200,2
34,1,1,2,7,43,2,2,2,1,1,57,0,1,1,7,86006,71739,4,2,0,0,1,1,23,1,187783,2
25,2,1,2,7,40,2,2,1,1,1,57,0,7,0,0,67000,48000,4,2,0,0,1,1,23,1,67000,1
32,2,1,2,7,44,1,2,2,1,1,57,0,1,4,10,48210,36210,4,2,0,0,1,1,23,1,118210,2
36,2,1,2,1,43,1,2,2,1,1,57,0,1,1,11,48000,51029,4,2,0,0,1,1,23,1,75029,2
